Gene Title	Gene Symbol	FDR-	FoldChange 
lysozyme-like 1 /// lysozyme-like 2	LYZL1 /// LYZL2	0.0187772	1.28166
v-maf musculoaponeurotic fi brosarcoma oncogene homolog (avian)	MAF	0.0198535	1.41222
magnesium transporter 1	MAGT1	0.0234598	1.63638
"mannosidase, alpha, class 1A, member 2"	MAN1A2	0.00159955	1.28692
mitogen-activated protein kinase kinase kinase 1	MAP3K1	0.0317819	1.26077
mitogen-activated protein kinase kinase kinase 7 interacting protein 2	MAP3K7IP2	0.0499204	1.3186
mitogen-activated protein kinase 8	MAPK8	0.0428406	1.34567
microtubule-associated protein tau	MAPT	0.00206783	1.25396
"membrane-bound transcription factor peptidase, site 1"	MBTPS1	0.0264938	1.57689
mediator complex subunit 17	MED17	0.0351849	1.26422
Mediator complex subunit 26	MED26	0.0333919	1.37095
methionyl aminopeptidase 2	METAP2	0.0147677	1.68729
methyltransferase 11 domain containing 1	METT11D1	0.0397703	1.39471
methyltransferase like 13	METTL13	0.0364815	1.22214
methyltransferase like 4	METTL4	0.0464703	1.2296
mex-3 homolog A (C. elegans)	MEX3A	0.0213972	1.29737
mitofusin 1	MFN1	0.0409109	1.40501
major facilitator superfamily domain containing 10	MFSD10	0.0220528	1.28773
"Mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase"	MGAT3	0.0380911	1.64374
hypothetical LOC197187	MGC23284	0.0307005	1.30452
microsomal glutathione S-transferase 1	MGST1	0.0173364	1.43047
McKusick-Kaufman syndrome	MKKS	0.0465809	1.44954
makorin ring fi nger protein 2	MKRN2	0.0418745	1.24954
malonyl-CoA decarboxylase	MLYCD	0.0387284	1.62414
mitochondrial ribosomal protein L9	MRPL9	0.0139212	1.47393
mitochondrial ribosomal protein S18B	MRPS18B	0.000741013	1.62614
mitochondrial ribosomal protein S5	MRPS5	0.016674	1.41501
methionine sulfoxide reductase B2	MSRB2	0.0487961	2.42584
Msh homeobox 1	MSX1	0.029347	1.3939
metallothionein 1F	MT1F	0.0227073	1.36912
metallothionein 1G	MT1G	0.0149863	2.5759
"Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse) binding"	MTBP	0.0108466	1.24266
metal response element binding transcription factor 2	MTF2	0.00795479	1.20226
myotubularin related protein 11	MTMR11	0.045221	1.27485
metaxin 3	MTX3	0.0087909	1.5794
MUS81 endonuclease homolog (S. cerevisiae)	MUS81	0.0484554	1.59357
myosin IIIB	MYO3B	0.0264859	1.25058
"Myb-related transcription factor, partner of profi lin"	MYPOP	0.0432279	1.20088
N-6 adenine-specifi c DNA methyltransferase 2 (putative)	N6AMT2	0.0326739	1.23389
NGFI-A binding protein 1 (EGR1 binding protein 1)	NAB1	0.023957	1.23772
NMDA receptor regulated 1	NARG1	0.0232586	2.34326
"N-acetyltransferase 11 (GCN5-related, putative)"	NAT11	0.0123274	1.3739
neuron navigator 1	NAV1	0.0245275	1.83354
"neuroblastoma breakpoint family, member 3"	NBPF3	0.0097832	1.23811
neural cell adhesion molecule 1	NCAM1	0.0333314	1.24831
non-protein coding RNA 105	NCRNA00105	0.00177161	1.32641
non-protein coding RNA 173	NCRNA00173	0.0098469	1.31151
neuropilin (NRP) and tolloid (TLL)-like 1	NETO1	0.048669	1.20625
sialidase 1 (lysosomal sialidase)	NEU1	0.0373584	1.49413
neuralized homolog 3 (Drosophila) pseudogene	NEURL3	0.0475514	1.31975
"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2 intera"	NFATC2IP	0.0312575	1.40967
"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4"	NFATC4	0.0143348	1.4264
nuclear factor I/B	NFIB	0.0235565	1.60123
N-myristoyltransferase 2	NMT2	0.0209453	1.78159
neuronatin	NNAT	0.0125566	1.37642
nicotinamide N-methyltransferase	NNMT	0.0119662	1.83591
nucleolar protein 12	NOL12	0.00513793	1.35775
"nucleolar protein 7, 27kDa"	NOL7	0.0321167	1.6131
"Notch homolog 1, translocation-associated (Drosophila)"	NOTCH1	0.0375146	1.37401
neuronal PAS domain protein 1	NPAS1	0.0380323	1.25267
aminopeptidase puromycin sensitive	NPEPPS	0.0137793	2.32083
N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase)	NPL	0.00296545	1.34
neuronal pentraxin II	NPTX2	0.042495	1.64964
"nuclear receptor subfamily 4, group A, member 2"	NR4A2	0.0264198	1.42918
nuclear receptor binding protein 1	NRBP1	0.0209263	1.26798
neuregulin 2	NRG2	0.0175521	1.20523
neurensin 1	NRSN1	0.0229005	1.56523
neurexin 3	NRXN3	0.0453457	2.22702
Nuclear mitotic apparatus protein 1	NUMA1	0.0366844	1.37
nucleoporin 50kDa	NUP50	0.0308999	1.33015
nuclear protein 1	NUPR1	0.0261567	1.28519
ornithine decarboxylase antizyme 1	OAZ1	0.00482172	1.20616
OCIA domain containing 1	OCIAD1	0.0263134	1.24665
orosomucoid 1	ORM1	0.00915437	1.20866
ORM1-like 2 (S. cerevisiae)	ORMDL2	0.0459131	1.4927
oxysterol binding protein	OSBP	0.0223887	1.20815
oxysterol binding protein-like 6	OSBPL6	0.0104023	1.55469
OTU domain containing 7B	OTUD7B	0.0353995	1.21327
"proliferation-associated 2G4, 38kDa /// proliferation-associated 2G4 pseudogene"	PA2G4 /// PA2G4P4	0.00764062	1.37383
Pantothenate kinase 2	PANK2	0.0244942	1.31816
prostate and testis expressed 2	PATE2	0.0240444	1.22032
paired box 6	PAX6	0.0113982	1.24333
pre-B-cell leukemia homeobox interacting protein 1	PBXIP1	0.0359881	2.30756
poly(rC) binding protein 2	PCBP2	0.0394736	1.70185
protocadherin 9	PCDH9	0.017794	1.75223
protocadherin beta 16	PCDHB16	0.0213578	1.26273
Proprotein convertase subtilisin/kexin type 7	PCSK7	0.0180317	1.26501
programmed cell death 2	PDCD2	0.0434428	1.64276
Programmed cell death 6	PDCD6	0.00422434	1.42717
"phosphodiesterase 1C, calmodulin-dependent 70kDa"	PDE1C	0.00771627	1.61802
PDZ and LIM domain 7 (enigma)	PDLIM7	0.0435179	2.03901
podoplanin	PDPN	0.0436381	1.21115
"PDS5, regulator of cohesion maintenance, homolog A (S. cerevisiae)"	PDS5A	0.00395543	1.4532
PFTAIRE protein kinase 1	PFTK1	0.0149076	1.76068
PFTAIRE protein kinase 2	PFTK2	0.0134514	1.25585
"protein geranylgeranyltransferase type I, beta subunit"	PGGT1B	0.0269629	1.20395
"phosphorylase kinase, gamma 1 (muscle)"	PHKG1	0.0106496	1.21175
"phosphatidylinositol glycan anchor biosynthesis, class X"	PIGX	0.0414353	1.40365
"Phosphoinositide-3-kinase, regulatory subunit 2 (beta)"	PIK3R2	0.027041	1.26333
pirin (iron-binding nuclear protein)	PIR	0.0421637	1.74125
protein kinase N2	PKN2	0.0399976	1.61795
placenta-specifi c 4	PLAC4	0.0144475	1.34116
"plasminogen activator, urokinase receptor"	PLAUR	0.0417956	1.36275
plexin B1	PLXNB1	0.00245127	1.2464
PMS2 postmeiotic segregation increased 2 (S. cerevisiae) /// PMS2 C-terminal lik	PMS2 /// PMS2CL	0.0121121	1.37645
paraneoplastic antigen MA3	PNMA3	0.0350511	1.20022
patatin-like phospholipase domain containing 5	PNPLA5	0.0487319	1.26625
patatin-like phospholipase domain containing 6	PNPLA6	0.0313081	1.23157
patatin-like phospholipase domain containing 7	PNPLA7	0.0392633	1.28191
"polymerase (RNA) I polypeptide A, 194kDa"	POLR1A	0.00739527	1.27186
"polymerase (RNA) III (DNA directed) polypeptide F, 39 kDa"	POLR3F	0.028026	1.21968
POM121 membrane glycoprotein-like 1 (rat) pseudogene /// POM121 membrane glycopr	POM121L1P /// POM121L8P /// POM121L9P	0.0421452	1.22827
POU class 2 homeobox 1	POU2F1	0.0476364	1.43703
"peroxisome proliferator-activated receptor gamma, coactivator 1 beta"	PPARGC1B	0.00936765	1.26215
periphilin 1	PPHLN1	0.0147438	1.28715
peptidylprolyl isomerase G (cyclophilin G)	PPIG	0.0452794	1.21723
peptidylprolyl isomerase (cyclophilin)-like 6	PPIL6	0.0232826	1.58592
PQ loop repeat containing 2	PQLC2	0.0444676	1.30769
prolyl endopeptidase-like	PREPL	0.0492253	1.56533
protein arginine methyltransferase 8	PRMT8	0.0461957	1.53729
prominin 1	PROM1	0.00291671	1.65074
"protein Z, vitamin K-dependent plasma glycoprotein"	PROZ	0.0392078	1.24203
PRP18 pre-mRNA processing factor 18 homolog (S. cerevisiae)	PRPF18	0.0467478	1.61044
PRP38 pre-mRNA processing factor 38 (yeast) domain containing B	PRPF38B	0.0158488	1.33019
pregnancy specifi c beta-1-glycoprotein 1	PSG1	0.00504118	1.24068
"proteasome (prosome, macropain) 26S subunit, non-ATPase, 4"	PSMD4	0.033462	1.26453
Paraspeckle component 1	PSPC1	0.0229067	1.33948
phosphoserine phosphatase	PSPH	0.0216616	1.89584
phosphatase and tensin homolog	PTEN	0.0032929	1.94194
parathyroid hormone 1 receptor	PTH1R	0.0224029	1.49415
"protein tyrosine phosphatase, receptor type, D"	PTPRD	0.0235502	1.2889
Purine-rich element binding protein A	PURA	0.0407781	1.33374
poliovirus receptor-related 1 (herpesvirus entry mediator C)	PVRL1	0.031674	1.23637
Quinoid dihydropteridine reductase	QDPR	0.00667599	2.47499
"RAB18, member RAS oncogene family"	RAB18	0.0367948	1.25303
"RAB32, member RAS oncogene family"	RAB32	0.0275713	1.22048
RAB3 GTPase activating protein subunit 1 (catalytic)	RAB3GAP1	0.0438666	1.24858
"RAB40C, member RAS oncogene family"	RAB40C	0.0470167	1.21874
"RAB43, member RAS oncogene family"	RAB43	0.00989555	1.52211
"rabaptin, RAB GTPase binding effector protein 1"	RABEP1	0.00730315	1.20585
RAD1 homolog (S. pombe)	RAD1	0.0133509	1.25598
RAD51-like 3 (S. cerevisiae)	RAD51L3	0.0461984	2.18879
RAD54 homolog B (S. cerevisiae)	RAD54B	0.0466414	1.23754
retinoblastoma binding protein 8	RBBP8	0.0368849	1.45024
RNA binding motif protein 12B	RBM12B	0.0374765	1.34564
recombination signal binding protein for immunoglobulin kappa J region	RBPJ	0.0031013	1.36296
"RAS-like, estrogen-regulated, growth inhibitor"	RERG	0.0150653	1.2926
"REX2, RNA exonuclease 2 homolog (S. cerevisiae)"	REXO2	0.0334992	1.28958
ring fi nger and WD repeat domain 2	RFWD2	0.0221952	1.22965
regulator of G-protein signaling 20	RGS20	0.0456726	1.33488
Ras homolog enriched in brain like 1	RHEBL1	0.00143771	1.5022
"ras homolog gene family, member Q"	RHOQ	0.0400565	1.27691
Ras and Rab interactor 3	RIN3	0.0432084	1.54459
ring fi nger protein 1	RING1	0.0277752	1.40298
ribonuclease T2	RNASET2	0.0005002	1.29729
ring fi nger protein 123	RNF123	0.0329406	1.42681
ring fi nger protein 125	RNF125	0.00498971	1.57555
ring fi nger protein 13	RNF13	0.00477601	1.83353
ring fi nger protein 175	RNF175	0.0461219	2.05126
hypothetical protein LOC286411	RP1? 1 77G6.2	0.0428833	1.31742
kazrin	RP1 ? 21O18.1	0.0154391	2.03602
RPA interacting protein	RPAIN	0.0454558	1.74117
ribosomal protein L23a pseudogene 32	RPL23AP32	0.0480677	1.72482
Regulation of nuclear pre-mRNA domain containing 1B	RPRD1B	0.0293857	1.21768
ribosomal protein S10 /// ribosomal protein S10 pseudogene 11 /// ribosomal prot	RPS10 /// RPS10P11 /// RPS10P13 /// RPS10P22 /// RPS10P29 /// RPS10P3 /// RPS10P4 /// RPS10P5 /// RPS10P7 /// RPS10P9	0.00507683	1.48066
ribosomal protein S2 /// ribosomal protein S2 pseudogene 12 /// ribosomal protei	RPS2 /// RPS2P12 /// RPS2P20 /// RPS2P5	0.0473077	1.2972
ribosomal protein S28	RPS28	0.035554	1.25005
ribosomal protein S2 pseudogene 45	RPS2P45	0.0172277	1.65068
ribosomal L1 domain containing 1	RSL1D1	0.0305021	1.27857
S100 calcium binding protein A1	S100A1	0.0019646	1.23633
sterile alpha and TIR motif containing 1	SARM1	0.0132592	1.23333
squamous cell carcinoma antigen recognized by T cells 3	SART3	0.0246306	1.7399
sex comb on midleg-like 2 (Drosophila)	SCML2	0.00889337	1.51071
"sodium channel, voltage-gated, type XI, alpha subunit"	SCN11A	0.00827182	1.21803
SCY1-like 3 (S. cerevisiae)	SCYL3	0.0300174	2.55763
syndecan 2	SDC2	0.0132636	2.07579
SEC14-like 5 (S. cerevisiae)	SEC14L5	0.0455151	1.39383
Septin 13	SEPTIN13	0.015133	1.23345
septin 2	SEPTIN2	0.00153254	2.45578
septin 9	SEPTIN9	0.0396694	1.29896
"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), membe"	SERPINA3	0.0490376	1.58769
SET binding protein 1	SETBP1	0.0105739	1.98629
SET domain containing 4	SETD4	0.022114	1.53687
stratifi n	SFN	0.00728053	1.4707
"Splicing factor, arginine/serine-rich 3"	SFRS3	0.00137205	1.59005
siderofl exin 5	SFXN5	0.0245147	1.21126
SH3-domain kinase binding protein 1	SH3KBP1	0.0248297	1.53005
sigma non-opioid intracellular receptor 1	SIGMAR1	0.00337864	1.21223
"solute carrier family 12 (sodium/chloride transporters), member 3"	SLC12A3	0.0282386	1.20381
"solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 3"	SLC13A3	0.0349643	1.27766
"solute carrier family 17, member 9"	SLC17A9	0.0233933	1.23448
"solute carrier family 1 (glutamate/neutral amino acid transporter), member 4"	SLC1A4	0.0135992	1.86345
"Solute carrier family 20 (phosphate transporter), member 1"	SLC20A1	0.00674067	1.37506
"solute carrier family 24 (sodium/potassium/calcium exchanger), member 6"	SLC24A6	0.0459234	1.23327
"solute carrier family 25, member 35"	SLC25A35	0.0187628	1.22049
"solute carrier family 26, member 10"	SLC26A10	0.0384947	1.46607
"solute carrier family 39 (zinc transporter), member 6"	SLC39A6	0.0205865	1.83087
"Solute carrier family 39 (zinc transporter), member 9"	SLC39A9	0.0433444	1.22032
"solute carrier family 44, member 3"	SLC44A3	0.0435094	1.22063
"solute carrier family 46 (folate transporter), member 1"	SLC46A1	0.0127192	1.32918
"solute carrier family 5 (sodium-dependent vitamin transporter), member 6"	SLC5A6	0.035541	1.20481
"SLIT and NTRK-like family, member 2"	SLITRK2	0.00617559	1.26859
SPARC related modular calcium binding 2	SMOC2	0.041138	1.2193
"Synaptosomal-associated protein, 25kDa"	SNAP25	0.0437327	1.79434
"sushi, nidogen and EGF-like domains 1"	SNED1	0.00667306	1.49054
small nuclear ribonucleoprotein polypeptide N	SNRPN	0.0310841	1.6538
sorting nexin family member 27	SNX27	0.0337448	1.2966
sortilin 1	SORT1	0.0233988	1.4079
Sp1 transcription factor	SP1	0.0118864	1.21944
Spi-B transcription factor (Spi-1/PU.1 related)	SPIB	0.0214145	1.38888
"spondin 1, extracellular matrix protein"	SPON1	0.0196928	2.66752
"sepiapterin reductase (7,8-dihydrobiopterin:NADP  oxidoreductase)"	SPR	0.0311114	1.40477
sprouty homolog 4 (Drosophila)	SPRY4	0.0473111	1.36606
"sushi-repeat-containing protein, X-linked 2"	SRPX2	0.0375797	1.28583
single-stranded DNA binding protein 1	SSBP1	0.0362456	1.25532
"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide"	ST6GALNAC3	0.0426988	1.23282
signal transducer and activator of transcription 5B	STAT5B	0.0351712	1.38065
Serine/threonine kinase 11	STK11	0.0118742	1.22716
"serine/threonine kinase 3 (STE20 homolog, yeast)"	STK3	0.0209977	2.10697
Spermatid perinuclear RNA binding protein	STRBP	0.0283199	2.52468
"striatin, calmodulin binding protein"	STRN	0.0417611	1.37568
syntaxin binding protein 6 (amisyn)	STXBP6	0.0480101	1.26497
"succinate-CoA ligase, alpha subunit"	SUCLG1	0.0479411	1.73778
suppressor of zeste 12 homolog (Drosophila)	SUZ12	0.0452157	1.31536
"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1"	SVEP1	0.0424585	1.23596
"synaptotagmin binding, cytoplasmic RNA interacting protein"	SYNCRIP	0.0208571	2.16179
synaptojanin 1	SYNJ1	0.000959636	1.22262
synaptotagmin-like 2	SYTL2	0.0410352	1.60173
"transforming, acidic coiled-coil containing protein 1"	TACC1	0.0147411	1.95005
"TATA box binding protein (TBP)-associated factor, RNA polymerase I, D, 41kDa"	TAF1D	0.0233251	1.60799
"transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)"	TAP1	0.0477137	1.28792
"taste receptor, type 2, member 38"	TAS2R38	0.0331428	1.21048
tafazzin	TAZ	0.0254492	1.29918
"TBC1 domain family, member 7"	TBC1D7	0.0152365	1.33303
thromboxane A2 receptor	TBXA2R	0.0421733	1.22129
"transcription elongation factor A (SII), 2"	TCEA2	0.0351426	1.245
L-threonine dehydrogenase	TDH	0.0357446	1.32035
TEA domain family member 1 (SV40 transcriptional enhancer factor)	TEAD1	0.0325014	1.25401
telomeric repeat binding factor 2	TERF2	0.0162118	1.38819
Testis expressed 10	TEX10	0.0180359	1.26018
"transcription factor A, mitochondrial"	TFAM	0.00498013	1.27345
"transforming growth factor, beta receptor III"	TGFBR3	0.00831108	2.20808
"TIP41, TOR signaling pathway regulator-like (S. cerevisiae)"	TIPRL	0.00152208	1.57624
transmembrane 9 superfamily member 3	TM9SF3	0.0379367	1.27682
transmembrane emp24 protein transport domain containing 5	TMED5	0.0433605	1.49916
transmembrane protein 132B	TMEM132B	0.0194437	1.95885
transmembrane protein 134	TMEM134	0.0319641	1.38159
transmembrane protein 149	TMEM149	0.0365799	1.26972
transmembrane protein 14B	TMEM14B	0.0483632	1.23325
transmembrane protein 176A	TMEM176A	0.0388228	1.33848
transmembrane protein 219	TMEM219	0.0468156	1.24668
transmembrane protein 33	TMEM33	0.0459844	1.65345
Transmembrane protein 39A	TMEM39A	0.0140665	1.94644
transmembrane protein 41B	TMEM41B	0.00773543	3.10579
transmembrane protein 5	TMEM5	0.0328306	1.81341
transmembrane protein 54	TMEM54	0.0229644	1.24239
transmembrane protein 67	TMEM67	0.0043455	1.84795
transmembrane protein 70	TMEM70	0.0339065	1.48203
transmembrane protein 87B	TMEM87B	0.0319298	1.21926
transmembrane protein 88	TMEM88	0.0181717	1.29382
transmembrane protein 9	TMEM9	0.0144993	1.26664
"tumor necrosis factor receptor superfamily, member 10b"	TNFRSF10B	0.024154	1.40951
"tumor necrosis factor receptor superfamily, member 13B"	TNFRSF13B	0.0367579	1.3301
"tumor necrosis factor receptor superfamily, member 19"	TNFRSF19	0.0422395	1.2082
"tumor necrosis factor (ligand) superfamily, member 12"	TNFSF12	0.0121989	1.23824
transportin 3	TNPO3	0.0396418	1.27007
"tumor protein p53 binding protein, 2"	TP53BP2	0.0352941	1.83511
tumor protein p63	TP63	0.0447961	1.29641
two pore segment channel 2	TPCN2	0.0419717	1.71318
tropomyosin 2 (beta)	TPM2	0.0389256	1.20835
TP53RK binding protein	TPRKB	0.0221765	1.33053
TNF receptor-associated factor 4	TRAF4	0.0299708	1.6687
TRAF interacting protein	TRAIP	0.0332548	1.20625
tripartite motif-containing 10	TRIM10	0.0390456	1.24255
tripartite motif-containing 33	TRIM33	0.0052884	2.26592
tripartite motif-containing 46	TRIM46	0.0475682	1.20442
tripartite motif-containing 66	TRIM66	0.0359624	1.57098
"transient receptor potential cation channel, subfamily C, member 2 (pseudogene)"	TRPC2	0.0104354	1.23177
"testis specifi c, 14"	TSGA14	0.0348805	2.0858
tetraspanin 11	TSPAN11	0.0294421	1.53447
tetraspanin 33	TSPAN33	0.0310665	1.4826
tetraspanin 5	TSPAN5	0.00677307	2.10383
Tetratricopeptide repeat domain 12	TTC12	0.0217123	1.35376
tetratricopeptide repeat domain 33	TTC33	0.0235714	1.28945
"tubulin, gamma complex associated protein 3"	TUBGCP3	0.0117143	1.21177
"tubulin, gamma complex associated protein 5"	TUBGCP5	0.0142715	1.49192
twist homolog 2 (Drosophila)	TWIST2	0.0276225	1.25134
twisted gastrulation homolog 1 (Drosophila)	TWSG1	0.0189745	1.35436
thioredoxin reductase 3	TXNRD3	0.00349545	1.39102
ubiquitin-like modifi er activating enzyme 6	UBA6	0.00591054	1.20207
ubiquitin-conjugating enzyme E2 variant 2	UBE2V2	0.0494824	1.2234
"ubiquitination factor E4B (UFD2 homolog, yeast)"	UBE4B	0.042299	1.3675
UBX domain protein 7	UBXN7	0.0281845	1.33862
"uncoupling protein 3 (mitochondrial, proton carrier)"	UCP3	0.00318286	1.48833
"UDP glucuronosyltransferase 1 family, polypeptide A1 /// UDP glucuronosyltransfe"	UGT1A1 /// UGT1A10 /// UGT1A3 /// UGT1A4 /// UGT1A5 /// UGT1A6 /// UGT1A7 /// UGT1A8 /// UGT1A9	0.00545944	1.23781
uromodulin-like 1	UMODL1	0.036784	1.20279
ubiquitin specifi c peptidase 19	USP19	0.036521	1.25066
ubiquitin specifi c peptidase 32	USP32	0.0250183	1.23358
ubiquitin specifi c peptidase 36	USP36	0.0155064	1.61231
"ubiquitously transcribed tetratricopeptide repeat gene, Y-linked"	UTY	0.0179999	1.3068
VGF nerve growth factor inducible	VGF	0.0386611	1.57044
vacuolar protein sorting 13 homolog D (S. cerevisiae)	VPS13D	0.0464595	1.82324
von Willebrand factor A domain containing 5B2	VWA5B2	0.00487844	1.40102
WW domain binding protein 1	WBP1	0.00583006	1.50284
WD repeat domain 8	WDR8	0.0226652	2.12477
"WAS protein homolog associated with actin, golgi membranes and microtubules"	WHAMM	0.0238019	1.356
widely interspaced zinc fi nger motifs	WIZ	0.0414893	1.24284
"wingless-type MMTV integration site family, member 7B"	WNT7B	0.0425054	1.25669
WD repeat and SOCS box-containing 1	WSB1	0.0252365	2.05327
X-linked inhibitor of apoptosis	XIAP	0.0302711	1.25165
"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta pol"	YWHAB	0.0480904	1.53284
zeta-chain (TCR) associated protein kinase 70kDa	ZAP70	0.0392864	1.20753
zinc fi nger CCHC-type and RNA binding motif 1	ZCRB1	0.0474941	1.42874
zinc fi nger protein 28 homolog (mouse)	ZFP28	0.04466	1.49567
zinc fi nger protein 90 homolog (mouse)	ZFP90	0.0386581	1.20693
zinc fi nger with KRAB and SCAN domains 1	ZKSCAN1	0.0248605	1.24537
zinc fi nger protein 134	ZNF134	0.017054	1.49881
zinc fi nger protein 16	ZNF16	0.0177241	1.67355
zinc fi nger protein 197	ZNF197	0.0126178	1.44857
zinc fi nger protein 207	ZNF207	0.0167822	1.3198
zinc fi nger protein 264	ZNF264	0.0375262	1.74855
zinc fi nger protein 271	ZNF271	0.032052	1.89975
zinc fi nger protein 281	ZNF281	0.0173262	2.07372
zinc fi nger protein 3	ZNF3	0.0427615	1.22359
zinc fi nger protein 346	ZNF346	0.000815954	1.8052
zinc fi nger protein 35	ZNF35	0.0220614	1.3894
zinc fi nger protein 396	ZNF396	0.0205338	1.20822
zinc fi nger protein 434	ZNF434	0.0189876	1.67799
Zinc fi nger protein 546	ZNF546	0.000436957	1.21678
zinc fi nger protein 576	ZNF576	0.0150454	1.25021
zinc fi nger protein 581	ZNF581	0.043858	1.26394
zinc fi nger protein 641	ZNF641	0.037792	1.21524
zinc fi nger protein 662	ZNF662	0.0393651	1.24551
zinc fi nger protein 664	ZNF664	0.0486636	1.69547
zinc fi nger protein 688	ZNF688	0.0425185	1.27525
Zinc fi nger protein 7	ZNF7	0.0282349	1.2696
zinc fi nger protein 717	ZNF717	0.0243433	1.27119
zinc fi nger family member 788	ZNF788	0.0488636	1.23427
zinc fi nger protein 793	ZNF793	0.0357803	1.29139
zinc fi nger protein 823	ZNF823	0.0395175	1.24249
zinc fi nger protein 839	ZNF839	0.044345	1.87151
"zinc fi nger, RAN-binding domain containing 1"	ZRANB1	0.0305057	1.65082
zyg-11 homolog B (C. elegans)	ZYG11B	0.0269688	2.2506
