"","ensembl_id","type","str","symbol","length","chr","total","non_zero","Schizophrenia.A162a","Schizophrenia.A162b","Schizophrenia.A162c","Schizophrenia.A128a","Schizophrenia.A128b","Schizophrenia.A128c","Schizophrenia.A212a","Schizophrenia.A212b","Schizophrenia.A212c","Schizophrenia.A67a","Schizophrenia.A67b","Schizophrenia.A67c","Normal.B272a","Normal.B272b","Normal.B272c","Normal.B190a","Normal.B190b","Normal.B190c","Normal.B367a","Normal.B367b","Normal.B367c","Normal.B226a","Normal.B226b","Normal.B226c","FoldChange","p.value"
"8878","ENSG00000103550.9","protein_coding","-","KNOP1",5084,"chr16",48,48,4.08113,6.2239,6.2311,4.19783,6.00454,5.32821,6.40934,4.7251,5.79897,6.91611,7.67978,6.97322,8.3498,8.22992,7.22086,6.46066,8.00794,7.47825,6.90672,6.76496,5.95249,9.92462,11.1338,6.73689,0.757449506482505,0.00229150629907744
"8901","ENSG00000125148.6","protein_coding","+","MT2A",991,"chr16",48,48,0.933493,1.7576,0.854722,2.05101,0.942989,2.41188,3.46985,1.90986,1.20505,2.79003,3.3201,3.93224,1.02397,4.12216,1.0209,2.33798,4.10821,1.95376,3.49336,4.30826,4.58942,3.46655,6.4907,5.50231,0.603024123488422,0.0254990624677653
"8935","ENSG00000132600.12","protein_coding","+","PRMT7",4284,"chr16",48,48,13.0182,9.92727,9.53007,12.6125,7.96203,12.1815,11.5813,12.2685,9.3036,8.9261,8.9219,7.47671,10.2644,7.31064,8.16444,10.3395,9.80746,8.58714,8.27346,7.08702,6.8599,10.2243,9.45925,9.58597,1.16747468089949,0.0392505224126488
"8947","ENSG00000135702.10","protein_coding","-","CHST5",3245,"chr16",48,48,0.244356,0.447298,0.313231,0.52197,0.335979,0.0613809,0.151381,0.269196,0.161006,0.176842,0.101394,0.234318,0.469068,0.305183,0.311777,0.168001,0.401478,0.325453,0.203209,0.438571,0.323441,0.396998,0.414463,0.630137,0.687899709625303,0.0428618107192172
"8956","ENSG00000140632.12","protein_coding","-","GLYR1",3772,"chr16",48,48,42.3936,42.0206,40.7347,40.5486,39.5983,33.1088,39.1128,38.3275,38.6249,44.0223,38.4383,42.3319,46.5408,48.9317,50.2716,31.5795,40.4965,42.5574,46.2831,46.0301,44.1492,45.7083,41.7017,45.8073,0.90417090834725,0.0178683387561708
"8966","ENSG00000140743.3","protein_coding","-","CDR2",2702,"chr16",48,48,6.01598,6.33882,7.52358,6.0806,6.74419,6.48702,8.12054,7.81296,7.20966,6.62241,6.02761,5.48744,7.57369,6.78049,7.7561,8.92799,6.32835,6.38399,7.74848,7.81282,7.96302,8.58203,7.63945,5.92804,0.899874810524415,0.0460488435000546
"8976","ENSG00000140836.10","protein_coding","-","ZFHX3",17233,"chr16",48,48,3.42794,5.16311,3.77484,3.93151,7.37494,2.8433,3.55366,2.0445,4.99376,8.09483,5.96961,2.69698,3.04235,8.19614,5.47662,4.08879,10.8106,8.6103,7.75815,8.27211,5.98893,5.345,5.02196,4.58802,0.697794024972095,0.0328653211785462
"8995","ENSG00000140961.8","protein_coding","+","OSGIN1",2721,"chr16",48,48,1.69991,0.800156,0.373552,2.24096,1.54548,1.17122,2.1664,2.35427,1.45381,1.82139,1.83395,2.09582,2.92131,1.86526,1.32792,4.7584,2.99246,2.71689,6.60383,5.23029,2.31437,1.34144,0.902596,3.44431,0.536996545436793,0.0192609949621593
"9024","ENSG00000151006.7","protein_coding","-","PRSS53",2181,"chr16",48,48,7.93784,4.99134,7.53433,10.7173,7.4983,7.4887,7.3576,10.1466,5.40706,7.46288,5.4309,4.75008,6.66884,5.22176,5.23518,7.06136,5.00271,6.77915,6.42483,5.87274,5.53416,5.02072,4.0485,5.78156,1.26323412259978,0.023907988808605
"9042","ENSG00000155666.7","protein_coding","+","KDM8",2672,"chr16",48,48,3.75892,2.39017,2.59942,3.67664,2.97278,2.3854,2.69638,3.37822,2.3464,2.88957,2.81163,2.66781,4.24078,2.96502,2.21773,3.46847,2.92544,3.8207,2.71465,3.19572,3.33881,3.69635,3.8079,3.89011,0.858289425863072,0.0405582430985253
"9079","ENSG00000159714.6","protein_coding","-","ZDHHC1",2047,"chr16",48,48,10.588,5.74353,6.53789,8.77098,6.61958,7.4924,11.6789,9.03272,6.70903,8.94534,7.87596,6.26825,11.0712,4.77742,6.99001,7.65677,5.88708,6.36305,6.20113,6.6048,5.81098,5.97873,5.59901,5.41083,1.2286067531229,0.0458434648531313
"9125","ENSG00000166669.9","protein_coding","+","ATF7IP2",3724,"chr16",48,48,1.17109,1.09134,1.36471,1.13708,1.12923,1.01623,0.791459,1.09466,1.00212,1.03664,1.1044,0.714626,0.953712,0.897508,0.737402,0.841751,0.568486,1.2289,0.61975,0.445853,0.610649,1.21077,1.13056,0.823629,1.25669110147314,0.0257944231302863
"9138","ENSG00000166971.12","protein_coding","-","AKTIP",2508,"chr16",48,48,15.3339,10.8803,14.3873,16.3436,15.4012,21.5224,17.0404,17.1249,14.6419,17.8679,17.8417,16.902,16.0493,14.5112,14.3494,15.4876,12.7916,13.6153,16.1698,12.011,15.5538,12.071,11.9375,11.2105,1.17814826433717,0.012586277282699
"9155","ENSG00000167522.10","protein_coding","-","ANKRD11",9683,"chr16",48,48,19.285,22.3801,21.3966,21.988,23.7253,12.8564,19.0243,16.5994,22.6465,22.9459,21.9337,21.1921,22.6536,22.6281,23.882,16.3132,25.2944,21.9224,22.9327,24.1284,23.0153,23.7039,23.1776,25.2177,0.894873672687346,0.0441368656985841
"9232","ENSG00000172831.7","protein_coding","+","CES2",3943,"chr16",48,48,16.5572,14.062,16.0684,16.7532,16.6692,16.569,16.9849,15.2495,15.3516,16.1414,15.3677,17.7411,18.2722,18.6485,20.5268,14.9322,17.8007,17.8114,16.2638,17.0842,17.6569,18.0785,17.1437,18.7988,0.908446575096811,0.00342442147377717
"9275","ENSG00000179588.4","protein_coding","+","ZFPM1",5380,"chr16",48,48,1.74406,1.61875,1.79482,2.29827,2.37389,1.66601,2.00876,1.84018,1.49831,2.61812,1.55949,2.40263,2.13764,1.95578,2.22975,2.02662,3.20856,2.09387,3.70767,2.46893,2.37355,2.27481,2.11946,2.69219,0.799734574580139,0.0168604511240364
"9284","ENSG00000180185.7","protein_coding","+","FAHD1",3006,"chr16",48,48,6.24289,7.24293,6.65,6.02913,6.52846,7.22247,6.86352,5.90886,7.77168,6.47332,5.96531,6.19723,6.7515,7.57728,7.2602,6.61957,8.55962,7.78779,7.34876,7.81176,9.48542,7.71412,6.94468,6.91575,0.871325106897218,0.0031190747930209
"9290","ENSG00000181019.8","protein_coding","-","NQO1",3124,"chr16",48,48,2.19978,1.1151,1.57259,1.51812,1.29626,5.03691,6.39461,5.87208,3.46431,2.83887,4.47614,2.31224,6.3882,5.78531,2.49829,5.27886,2.50217,1.91566,10.0791,5.01113,3.91963,5.97943,4.73568,7.14544,0.622104740614217,0.0334654485935273
"9298","ENSG00000182831.7","protein_coding","+","C16orf72",5953,"chr16",48,48,6.48236,10.8258,9.84621,5.86127,9.62811,6.89254,7.86676,7.99732,9.29056,8.67574,9.01822,8.50984,9.26167,10.3557,8.18191,9.47829,8.8633,10.1417,10.7447,10.7978,9.6382,9.12507,9.05665,9.41735,0.876870138396282,0.0250426040292997
"9313","ENSG00000183889.8","protein_coding","+","AC138969.4",1609,"chr16",48,48,6.65297,4.33009,5.4749,5.5793,4.45278,5.07546,3.56187,5.24813,4.63878,6.45215,5.35079,3.60333,3.99425,3.38517,2.33549,4.9129,3.23877,3.50063,2.1516,3.538,2.60923,1.06754,1.05394,1.90627,1.79322510171756,4.83905086884624e-05
"9343","ENSG00000187193.8","protein_coding","+","MT1X",823,"chr16",48,48,2.89041,1.94001,1.0292,1.44065,2.46021,1.69413,1.59168,3.89185,1.8138,3.23279,2.19881,2.88716,3.08247,2.25619,1.2293,5.29927,4.35321,2.13871,2.20339,2.59385,2.76313,5.73951,3.48152,3.93389,0.692798156544278,0.0429955820795346
"9354","ENSG00000188897.4","protein_coding","-","CTD-3088G3.8",3552,"chr16",48,48,0.520885,1.38937,0.620011,1.19214,4.51641,2.29911,6.26948,2.82819,4.72791,6.56511,2.68627,3.77291,1.95217,8.53842,2.19726,1.64991,13.7083,7.13578,9.83923,6.94486,4.38304,8.76489,4.21444,2.39864,0.521251791865093,0.0351591829297384
"9389","ENSG00000198417.5","protein_coding","+","MT1F",737,"chr16",48,48,5.20016,2.95417,1.37915,1.83858,1.69064,1.3513,2.88829,4.93862,1.62036,2.47747,1.41371,1.41859,6.19589,5.03893,4.90267,6.84226,3.75636,1.43296,3.80259,5.47122,4.27231,6.9919,2.6183,5.78018,0.510826527079583,0.001202605138142
"9443","ENSG00000205730.5","protein_coding","+","ITPRIPL2",7693,"chr16",48,48,0.0343574,0.113205,0.0660624,0.0880693,0.242949,0.129456,0.276703,0.246026,0.242551,0.657784,0.805484,0.444772,0.175874,0.691922,0.187873,0.336607,0.444539,0.41184,0.857161,0.616648,0.341078,0.781473,0.668898,0.686649,0.539857370993146,0.0218978088657707
"9482","ENSG00000213380.9","protein_coding","-","COG8",4329,"chr16",48,48,4.21287,5.56586,4.8916,4.03004,6.00839,3.63486,4.23639,4.54024,5.24138,5.21804,5.87766,4.78629,5.1179,4.77544,5.27509,4.50209,6.09416,5.81434,6.13107,6.35585,5.69757,5.05899,6.02449,4.95966,0.885071949415447,0.0350238501929362
"9494","ENSG00000214940.4","protein_coding","-","NPIPA8",4848,"chr16",48,48,0.327119,0.269458,0.873587,1.46739,1.22082,0.821704,1.2497,0.900931,1.0623,0.312063,0.282782,0.215655,1.81405,1.30224,2.05706,1.40564,1.84751,1.81534,0.646084,1.1253,1.08247,2.70159,3.4376,4.14752,0.385054889993347,0.00205937091012855
"9500","ENSG00000217555.8","protein_coding","+","CKLF",830,"chr16",48,48,6.05051,3.32267,5.30669,4.69364,3.75302,7.19931,6.70759,5.43771,4.13656,4.71401,5.61584,3.54988,5.29789,3.7286,2.78614,6.0756,4.5127,4.66548,2.38342,2.2862,4.63663,2.32818,4.29758,4.51662,1.2730165017224,0.0452472368387893
"9546","ENSG00000224470.3","protein_coding","+","ATXN1L",7881,"chr16",48,48,7.47894,10.8663,9.39353,8.61833,11.0474,7.20297,8.85103,8.38701,10.5408,10.5118,10.7921,11.4088,9.89299,10.6182,11.0218,10.2205,10.5384,9.71538,10.689,11.5572,11.6751,11.279,11.0332,10.7027,0.892631553967021,0.023404196903887
"9678","ENSG00000254206.1","protein_coding","-","NPIPB11",3653,"chr16",48,48,0.361774,0.119202,0.092749,0.370937,0.682181,0.327152,0.179298,0.47826,0.449503,0.314181,0.705541,0.286202,0.462976,0.406646,0.514345,0.559638,0.668695,1.01186,0.451282,0.519449,0.335202,0.528986,0.25612,0.606404,0.690802633445979,0.0498488246110825
"9797","ENSG00000260448.1","lincRNA","-","RP11-449H11.1",766,"chr16",48,48,3.96813,3.22131,1.5481,2.43234,2.64328,1.56016,1.28259,1.71059,2.82572,1.97504,1.43178,1.36488,1.98711,2.10087,2.26419,1.60132,1.06299,1.37871,1.93692,1.23861,1.14182,0.2803,0.458031,0.222454,1.65656744819622,0.0141485900760941
"10132","ENSG00000270020.1","lincRNA","-","RP11-463O9.9",3515,"chr16",48,47,0.300782,0.371646,0.385561,0.722813,0.443102,0.396662,0.0465844,0.331358,0.36098,0.281991,0.577232,0.486718,0.240576,0.422611,0.328946,0.310192,0.463299,0.250378,0.2345,0.134961,0.149298,0.122168,0.199631,0.145434,1.56743464510589,0.0233483648815032
"10141","ENSG00000270580.1","processed_transcript","-","RP11-1186N24.5",2902,"chr16",48,48,1.27511,0.950316,1.05076,1.98446,1.18074,0.754994,1.24134,0.903042,1.31169,1.47409,1.49281,0.818791,1.34041,1.2797,1.54392,1.36197,2.58135,1.69829,1.6474,0.653876,1.14529,1.92366,2.23665,2.81846,0.713665173642636,0.0303336811724306
"10182","ENSG00000006695.6","protein_coding","+","COX10",3172,"chr17",48,48,4.5413,4.30137,4.86001,3.0437,3.24071,2.57453,3.97487,3.48829,4.49427,4.95041,4.63314,4.34475,3.73227,4.13673,4.05525,4.12481,4.41521,5.21611,4.88532,5.75785,4.74267,5.5505,5.16176,4.94223,0.854138638250473,0.0265756735218983
"10223","ENSG00000064300.4","protein_coding","+","NGFR",3676,"chr17",48,48,3.63105,5.21207,12.9497,4.51555,6.48254,2.00481,2.53901,3.40609,4.71055,12.6163,0.447528,1.24107,3.03652,10.2709,6.44806,1.70549,8.19563,11.7312,21.3915,11.3564,15.989,11.5649,3.78594,8.25113,0.525437595244809,0.0351253955566735
"10234","ENSG00000069188.12","protein_coding","-","SDK2",10723,"chr17",48,48,4.44915,6.22663,4.73951,6.31835,7.16077,4.1794,6.9022,4.3855,7.85149,6.29543,9.54266,8.25208,6.95553,6.58026,7.22452,4.74087,7.3201,6.66441,8.42485,7.29962,7.79775,10.1718,11.4464,10.9171,0.798624726969085,0.0440642397623769
"10361","ENSG00000108671.5","protein_coding","+","PSMD11",4219,"chr17",48,48,26.0302,28.8645,27.5049,27.1392,30.3084,25.116,27.129,25.1565,29.8445,30.4676,30.1025,32.6655,29.8244,31.6003,28.5704,26.037,30.1845,31.5819,35.9091,32.4953,32.5475,33.0283,34.1372,33.4822,0.897022942392173,0.00454497205301953
"10396","ENSG00000108861.4","protein_coding","-","DUSP3",4395,"chr17",48,48,16.6586,19.0889,18.6944,19.2695,22.2197,19.9861,22.3169,21.6315,26.8323,23.0158,15.3095,19.6578,21.3571,24.5608,21.4741,22.5135,24.7516,25.5513,28.1695,29.1432,29.6123,21.3977,17.3098,18.7265,0.859834963527094,0.0320001713668975
"10399","ENSG00000108924.9","protein_coding","+","HLF",5878,"chr17",48,48,0.966775,0.765498,0.691688,1.095,1.19237,1.45709,1.50428,1.48612,1.66342,0.603513,0.951579,0.630616,1.23722,0.905573,1.08189,0.857902,0.470983,0.838456,0.532871,0.484233,1.07135,0.547915,0.557097,0.637767,1.41034224677899,0.0276743748008871
"10475","ENSG00000126861.4","protein_coding","-","OMG",1947,"chr17",48,48,2.23993,2.08739,1.65317,1.7399,2.15987,3.27365,1.85022,2.2433,1.6484,0.643062,1.66173,3.17306,1.47669,1.71665,2.07851,2.24001,0.418206,1.80807,0.508023,1.58373,2.06643,1.54388,1.29144,0.700153,1.3982315759619,0.0433563284290632
"10511","ENSG00000131467.6","protein_coding","+","PSME3",4241,"chr17",48,48,26.1445,29.502,30.8374,26.0399,26.3318,27.0052,30.6562,24.6141,29.4961,32.4868,32.1574,35.5439,29.2709,31.232,30.2625,26.9624,33.4838,31.7086,35.9949,30.7608,33.0799,37.7172,36.2351,33.3085,0.89948812435163,0.0202583214044986
"10562","ENSG00000133195.7","protein_coding","-","SLC39A11",3079,"chr17",48,48,0.815512,0.848544,0.770277,0.550111,1.11286,0.840972,1.3827,1.5604,1.09084,1.47407,1.72757,1.54344,2.03236,1.97002,1.45517,1.59352,1.48093,1.48633,1.71332,2.00293,1.36351,1.46441,1.86118,2.10302,0.668266014507934,0.000461780690774897
"10565","ENSG00000136448.7","protein_coding","+","NMT1",4999,"chr17",48,48,18.7963,18.9892,17.9267,18.5677,16.6063,14.7423,17.9172,19.0179,18.0511,18.5026,18.7471,16.9404,19.1149,19.8103,17.7519,17.5577,20.5231,18.6262,22.5565,19.691,18.581,26.2857,22.4707,21.4406,0.878872188326482,0.0074616512371389
"10636","ENSG00000141564.9","protein_coding","+","RPTOR",7478,"chr17",48,48,8.28846,8.6957,8.26868,9.51314,10.7888,7.13834,8.1456,8.60537,8.42396,8.92262,8.82907,10.5493,9.45363,10.0482,10.5335,7.65472,9.79971,9.53282,9.76599,10.4355,9.94172,9.38888,8.94568,11.5073,0.907368364376175,0.0339728706113107
"10637","ENSG00000141568.15","protein_coding","+","FOXK2",5265,"chr17",48,48,23.896,23.9846,23.1666,24.0959,20.9146,21.6773,23.0455,22.5368,22.3418,22.6608,22.1535,22.2043,23.5779,23.5588,22.3179,22.0809,25.2703,24.7392,25.2995,24.5528,23.7888,25.0393,25.9335,29.3547,0.922724707086239,0.00694096068484381
"10696","ENSG00000159217.5","protein_coding","+","IGF2BP1",8274,"chr17",48,48,14.5988,18.5426,21.7849,13.2244,17.9582,10.9051,12.5272,13.0387,19.3315,17.5723,13.7126,12.5211,13.0819,18.0732,18.1144,14.3802,21.5519,19.146,19.1273,17.6877,16.85,39.6255,39.0189,18.8441,0.726875148482727,0.0487442696813727
"10726","ENSG00000161654.5","protein_coding","-","LSM12",2727,"chr17",48,48,3.73157,4.36456,4.59701,3.91305,4.16934,3.21378,3.84291,3.47025,4.76237,4.15128,4.96691,3.97329,4.71342,5.81044,4.081,4.69795,4.1205,4.19546,5.13845,6.61046,3.39976,5.19649,4.65315,4.87392,0.85502635195074,0.02616979686463
"10765","ENSG00000167182.11","protein_coding","+","SP2",3112,"chr17",48,48,11.0413,9.09509,11.3772,12.0285,10.8104,7.48849,7.36638,9.59063,8.61022,9.7229,8.56388,9.52895,13.3148,10.6208,11.2392,10.2919,10.8845,9.2759,9.11144,9.2225,10.8486,11.591,10.7668,12.101,0.891353991739979,0.0482310411267061
"10773","ENSG00000167291.11","protein_coding","-","TBC1D16",11290,"chr17",48,48,17.8393,22.7686,19.8065,19.1133,23.2453,14.8371,20.0873,14.8041,18.5768,21.408,21.2257,25.6176,19.8786,23.8917,24.8224,16.1762,22.2133,20.7353,22.4721,22.984,22.4198,26.0923,26.2751,27.273,0.869550178793448,0.0300677180042828
"10792","ENSG00000167721.6","protein_coding","-","TSR1",5355,"chr17",48,48,12.5369,13.4442,13.9194,11.0073,14.5425,11.8281,12.3228,11.9898,13.1296,13.4732,15.4936,13.9151,14.4333,14.3323,12.8742,11.6057,16.0873,14.1996,13.8224,14.3955,14.7651,16.7999,16.8383,15.7512,0.895953379327909,0.0149558065730144
"10813","ENSG00000167925.11","protein_coding","-","GHDC",3172,"chr17",48,48,4.45797,2.69979,3.68506,4.05827,3.63352,4.70951,4.7492,4.45217,2.96481,4.72015,3.90705,3.83537,2.93249,2.53667,2.825,3.39437,3.69646,3.99531,3.68997,3.14065,2.81252,4.06134,3.15236,4.24388,1.18260038902182,0.0239256237442005
"10817","ENSG00000168517.6","protein_coding","+","HEXIM2",1665,"chr17",48,48,6.7467,6.36386,5.90123,8.3418,6.08035,8.37398,7.96593,7.17022,4.84138,4.63719,4.67679,4.90924,4.36779,6.46829,6.16318,4.50209,5.2816,4.33432,5.04957,4.70113,4.83283,3.86864,3.93348,4.81008,1.30346012038482,0.00568085108093011
"10825","ENSG00000169689.10","protein_coding","-","STRA13",936,"chr17",48,48,40.0986,24.8117,27.3294,35.2873,29.6192,48.3057,35.5129,40.1307,20.8125,34.556,28.5903,29.7524,29.2716,21.2929,22.2355,33.927,27.1416,22.3781,29.9413,22.5537,20.9315,29.1326,33.9857,33.6794,1.20931666497688,0.0449281596907446
"10857","ENSG00000171302.12","protein_coding","-","CANT1",3673,"chr17",48,48,14.2482,13.515,13.4215,13.7422,15.6895,13.5571,14.979,14.0319,14.6715,16.7314,14.9746,16.7681,14.7806,15.4695,16.3301,11.9481,15.6509,15.5266,14.6317,19.0504,17.0975,16.3677,19.8686,18.557,0.902965863660502,0.0408535926608945
"10858","ENSG00000171345.9","protein_coding","-","KRT19",1390,"chr17",48,45,0.570457,0.208846,0.365624,0.487422,0.672304,0.143296,0.117801,1.04741,0.483267,0.525437,0.35506,0.478645,1.21673,0.534344,0.311937,0.882457,0.351474,1.01304,1.186,0.511929,1.38432,5.56083,2.69239,1.96143,0.309854368868626,0.0365141613001916
"10874","ENSG00000171953.11","protein_coding","-","ATPAF2",1618,"chr17",48,48,6.77932,8.43259,8.27137,7.74664,9.1448,6.89378,9.00693,9.98797,9.68724,9.73724,9.04913,9.57501,8.67576,12.0882,11.7018,7.24412,11.0713,7.94138,11.0038,11.4345,13.0817,9.55445,10.9506,9.47835,0.839695825252628,0.0125527185563639
"10907","ENSG00000173918.10","protein_coding","+","C1QTNF1",4354,"chr17",48,48,0.151764,0.10001,0.311265,0.350118,0.107315,0.0457467,0.0752155,0.20063,0.171424,0.179726,0.0755678,0.109147,0.271905,0.369606,0.232365,0.156512,0.224414,0.161705,0.227175,0.0544772,0.482115,0.443819,0.201454,0.4305,0.576751160118318,0.02354393701197
"10978","ENSG00000179294.5","protein_coding","-","C17orf96",3227,"chr17",48,48,1.96575,1.79917,2.36234,1.67962,1.68927,1.35791,1.31929,2.30093,1.59591,1.40646,1.2575,1.82609,3.09215,2.41672,2.37376,2.15396,2.11952,1.52725,1.37931,2.13158,1.68043,3.26023,2.84494,2.69302,0.742974617377959,0.00877891296294261
"11003","ENSG00000181222.10","protein_coding","+","POLR2A",7016,"chr17",48,48,31.0612,37.2801,39.0677,41.355,43.5107,27.3675,34.7979,31.0438,36.6062,40.4721,41.1356,35.5742,39.7743,39.5224,40.0055,29.0997,46.0277,43.5273,42.4587,39.4534,38.1469,48.1077,49.7574,47.0688,0.873391340447894,0.0218040201605313
"11060","ENSG00000184185.5","protein_coding","+","KCNJ12",5612,"chr17",48,48,0.706464,0.698325,0.875405,0.724359,0.416297,0.141968,0.525195,0.726395,0.851181,0.985362,0.166114,0.169361,0.210954,1.54406,0.746863,0.849994,0.928578,1.16047,1.32188,1.2257,0.935107,0.573885,0.479306,0.698359,0.654456571875858,0.0384080828880006
"11071","ENSG00000184886.3","protein_coding","+","PIGW",2798,"chr17",48,48,3.11733,4.61694,4.35927,4.29804,4.67585,2.91866,4.91583,3.8505,4.72155,3.78491,4.66448,3.73659,5.44005,5.39755,3.51254,4.09164,4.53976,4.59226,6.06859,6.95135,5.43913,4.98789,5.89351,4.87204,0.80373710616478,0.00590574444304233
"11086","ENSG00000185379.16","protein_coding","-","RAD51D",2606,"chr17",48,48,2.28205,3.73175,3.44532,3.1198,4.42269,3.21013,4.83818,2.68163,3.63738,4.50418,4.10331,4.30366,4.86737,4.08515,2.71758,3.45172,5.18669,4.72798,5.37703,4.45989,4.69874,4.11953,4.19604,4.57712,0.843995330968321,0.0383672130360803
"11095","ENSG00000185924.6","protein_coding","-","RTN4RL1",3625,"chr17",48,48,0.473938,0.520532,0.373861,0.887781,0.472622,1.26377,1.26478,0.441792,0.88536,1.43913,0.302549,0.367071,0.559862,1.80989,0.757541,1.01513,1.66219,1.31101,1.40978,2.48644,1.01337,2.07306,0.790425,0.611088,0.560858453142514,0.0151820263894816
"11150","ENSG00000196388.4","protein_coding","-","INCA1",1553,"chr17",48,47,0.936069,0.373853,0.654498,1.52692,1.0029,1.66732,1.26525,1.21872,0.913149,0.638248,0.84745,0.367206,0.762315,0.63768,0.372262,0.614317,0.734028,1.13339,0.212303,1.22186,0.67583,0.414764,0.414185,0.219446,1.53953021836441,0.0391823081648249
"11157","ENSG00000197063.6","protein_coding","-","MAFG",5220,"chr17",48,48,12.0257,13.3192,13.533,15.1533,14.9485,11.0275,13.4571,12.9135,15.5853,12.8922,12.6587,14.7848,16.2969,15.533,17.2772,13.4202,13.602,16.3877,16.9275,16.9943,19.4699,11.6404,10.6645,16.0933,0.880589929080246,0.0417939674080588
"11168","ENSG00000197879.10","protein_coding","-","MYO1C",5858,"chr17",48,48,1.42127,0.991111,1.06999,2.48662,2.10042,2.07409,2.5157,2.60959,1.93666,4.10543,3.12659,2.82313,3.08917,2.81052,2.12183,2.23351,3.11354,3.27513,3.60212,2.46992,2.20974,4.10507,4.33225,3.02519,0.749164793108935,0.0312582954749431
"11181","ENSG00000198783.4","protein_coding","+","ZNF830",1657,"chr17",48,48,13.6383,8.9349,11.8594,11.8576,8.92957,9.61647,10.6725,10.5437,9.63942,10.6415,11.4837,9.29229,12.8604,12.1773,10.8158,11.2684,12.4815,12.6408,10.4464,10.0202,12.246,13.0873,11.1163,11.7233,0.902228930671185,0.0335843133393517
"11252","ENSG00000205821.4","protein_coding","-","AC006435.1",573,"chr17",48,48,1.61447,1.51988,2.95647,1.7736,2.44634,0.347611,2.00036,1.77859,1.04206,1.82089,1.62693,0.663492,2.0661,1.94434,2.52235,2.37854,3.69466,2.76465,0.575405,2.89765,3.05283,1.49885,2.24513,1.78429,0.71434236791925,0.0478181673454951
"11320","ENSG00000214174.4","pseudogene","-","AMZ2P1",3425,"chr17",48,48,11.2284,6.61113,9.29878,8.4566,8.50375,10.0608,7.3147,10.7971,7.58365,8.49926,9.39835,9.5184,7.85135,8.7466,6.54081,10.3461,8.32077,8.63377,6.44974,7.82566,7.20139,6.2689,6.2829,7.26375,1.1693980731206,0.0245236768607206
"11462","ENSG00000238083.3","protein_coding","+","LRRC37A2",5669,"chr17",48,48,0.885857,1.28019,0.687306,1.31464,1.26381,0.878378,1.44421,0.873183,1.55358,1.18711,1.60574,1.60952,1.79,1.5067,1.60618,2.54838,2.47046,3.29118,1.91927,2.55227,1.32684,1.59072,1.07275,0.871686,0.646821697229664,0.00958136934188387
"11666","ENSG00000262585.1","lincRNA","-","RP11-353N14.5",5271,"chr17",48,48,0.927674,0.743503,0.41781,0.353476,0.738714,0.226729,0.341716,0.331452,0.339842,0.425582,0.291299,0.180317,0.128344,0.211365,0.24678,0.439563,0.370744,0.333932,0.218929,0.269998,0.298681,0.285139,0.144219,0.129311,1.72834103292,0.0216151260634086
"11681","ENSG00000262877.3","lincRNA","-","RP11-1055B8.4",1561,"chr17",48,48,29.6314,22.4092,20.7281,25.4991,19.2568,16.843,17.4129,21.5448,20.5601,17.4786,15.5272,10.838,44.421,37.351,41.4797,48.1077,43.7117,38.6761,13.6234,18.082,16.585,36.7248,37.4976,30.0192,0.585137511346877,0.00163007242976096
"11730","ENSG00000263818.1","pseudogene","+","CTD-2206N4.4",2305,"chr17",48,46,0.0573344,0.188913,0.14699,0.146967,0.0675707,0.172825,0.284155,0.126326,0.194285,0.226327,0.333067,0.164937,0.220119,0.590753,0.313516,0.236513,0.141301,0.229088,0.14304,0.411616,0.151781,0.279449,0.380534,0.295704,0.621703423160275,0.0260560988891205
"11963","ENSG00000267350.2","lincRNA","+","RP1-178F10.3",1676,"chr17",48,48,4.25801,11.3451,9.70344,7.98387,10.5011,5.11025,7.42515,5.73327,9.93094,9.30689,8.47422,9.35708,9.1828,9.4541,10.3483,8.70112,11.2712,9.45192,9.6394,9.76513,11.8984,11.9141,10.2925,9.55702,0.816040437291353,0.0191085067558424
"12051","ENSG00000078142.7","protein_coding","+","PIK3C3",14337,"chr18",48,48,4.71031,6.49963,6.32156,4.54844,6.50725,4.69577,4.68264,4.84387,6.48143,5.75646,6.29572,6.39734,4.69497,4.78339,4.80862,5.16187,5.97467,6.08941,5.17431,4.41729,5.07567,3.84881,4.409,3.95781,1.16002172758256,0.0236124653485018
"12065","ENSG00000101493.6","protein_coding","-","ZNF516",8619,"chr18",48,48,6.76189,9.81801,9.84713,7.44805,9.32443,5.15343,6.42134,7.56752,10.1925,8.8975,9.04725,8.64549,9.5757,8.97651,8.68627,9.07655,12.3379,11.5996,8.74093,9.30171,7.99645,11.5339,11.7236,10.9329,0.822733051786482,0.00934686164360902
"12106","ENSG00000133313.10","protein_coding","+","CNDP2",2828,"chr18",48,48,25.3283,25.2008,27.5554,33.3608,30.1257,35.2863,36.5934,30.4257,27.6857,31.6737,33.5266,33.1381,28.4068,32.3919,33.8329,30.8919,35.7025,35.9127,34.7428,30.446,31.7937,38.7965,37.4879,39.4064,0.902610221272193,0.0348216302313247
"12132","ENSG00000141384.7","protein_coding","+","TAF4B",5300,"chr18",48,48,0.14961,0.109546,0.159817,0.319583,0.146934,0.187907,0.185371,0.247229,0.197157,0.25592,0.175892,0.161398,0.319104,0.163496,0.19089,0.334297,0.215084,0.166053,0.27994,0.537042,0.297047,0.445624,0.452356,0.514414,0.586503316308874,0.00579251243256143
